Node_Count,Average_Gap_Percent
100,240.67853959063206
200,299.46337041570615
300,383.90362874130375
400,383.90362874130375
500,378.4011855715566
600,398.87319568089436
700,396.9688196679284
800,396.9688196679284
900,396.9688196679284
1000,396.9688196679284
1100,391.2900433772974
1200,391.2900433772974
1300,391.2900433772974
1400,388.23585618517916
1500,385.0751583932271
1600,376.6592363786049
1700,376.6592363786049
1800,376.6592363786049
1900,376.6592363786049
2000,376.6592363786049
2100,374.2540770462832
2200,373.89044068264684
2300,372.9578564129839
2400,372.9578564129839
2500,372.9578564129839
2600,372.9578564129839
2700,372.9578564129839
2800,372.9578564129839
2900,372.9578564129839
3000,370.2074459039527
3100,362.9618489143853
3200,362.9618489143853
3300,362.9618489143853
3400,358.9813452588207
3500,358.9813452588207
3600,358.9813452588207
3700,358.9813452588207
3800,358.9813452588207
3900,358.9813452588207
4000,358.9813452588207
4100,358.9813452588207
4200,358.9813452588207
4300,358.9813452588207
4400,358.9813452588207
4500,357.3956092952395
4600,352.8449400791783
4700,352.2381985061446
4800,352.2381985061446
4900,352.2381985061446
5000,352.2381985061446
5100,352.2381985061446
5200,352.2381985061446
5300,352.2381985061446
5400,352.2381985061446
5500,352.2381985061446
5600,352.2381985061446
5700,352.2381985061446
5800,352.2381985061446
5900,352.2381985061446
6000,352.2381985061446
6100,352.2381985061446
6200,349.38845859034717
6300,349.38845859034717
6400,349.38845859034717
6500,349.38845859034717
6600,349.38845859034717
6700,349.38845859034717
6800,349.38845859034717
6900,349.38845859034717
7000,337.15450245712213
7100,337.15450245712213
7200,337.15450245712213
7300,337.15450245712213
7400,337.15450245712213
7500,337.15450245712213
7600,337.15450245712213
7700,337.15450245712213
7800,337.15450245712213
7900,337.15450245712213
8000,337.15450245712213
8100,337.15450245712213
8200,337.15450245712213
8300,337.15450245712213
8400,337.15450245712213
8500,332.6090479116676
8600,332.6090479116676
8700,332.6090479116676
8800,332.6090479116676
8900,332.6090479116676
9000,323.3890371531953
9100,323.3890371531953
9200,323.3890371531953
9300,319.0715489603255
9400,318.9090250597519
9500,318.9090250597519
9600,318.9090250597519
9700,318.9090250597519
9800,318.9090250597519
9900,318.9090250597519
10000,318.9090250597519
10100,318.9090250597519
10200,318.9090250597519
10300,318.9090250597519
10400,318.9090250597519
10500,318.9090250597519
10600,318.9090250597519
10700,318.9090250597519
10800,318.9090250597519
10900,318.9090250597519
11000,318.9090250597519
11100,318.9090250597519
11200,318.9090250597519
11300,318.9090250597519
11400,318.9090250597519
11500,318.9090250597519
11600,318.9090250597519
11700,318.9090250597519
11800,318.9090250597519
11900,318.9090250597519
12000,318.9090250597519
12100,318.9090250597519
12200,318.9090250597519
12300,317.6124286253921
12400,316.99952539958565
12500,315.8773240845473
12600,315.8773240845473
12700,315.8773240845473
12800,315.8773240845473
12900,315.8773240845473
13000,315.8773240845473
13100,315.8773240845473
13200,315.8773240845473
13300,315.8773240845473
13400,315.8773240845473
13500,315.8773240845473
13600,315.8773240845473
13700,315.8773240845473
13800,315.8773240845473
13900,315.8773240845473
14000,315.8773240845473
14100,309.70348167999816
14200,309.70348167999816
14300,309.70348167999816
14400,309.70348167999816
14500,309.70348167999816
14600,309.70348167999816
14700,309.70348167999816
14800,309.70348167999816
14900,309.70348167999816
15000,309.70348167999816
15100,309.70348167999816
15200,309.70348167999816
15300,309.70348167999816
15400,309.70348167999816
15500,309.70348167999816
15600,309.70348167999816
15700,309.70348167999816
15800,309.70348167999816
15900,309.70348167999816
16000,309.70348167999816
16100,309.70348167999816
16200,309.70348167999816
16300,309.70348167999816
16400,309.70348167999816
16500,309.70348167999816
16600,309.70348167999816
16700,309.70348167999816
16800,309.70348167999816
16900,309.70348167999816
17000,309.70348167999816
17100,309.70348167999816
17200,309.70348167999816
17300,309.70348167999816
17400,309.70348167999816
17500,309.70348167999816
17600,309.70348167999816
17700,309.70348167999816
17800,309.70348167999816
17900,309.70348167999816
18000,309.70348167999816
18100,309.70348167999816
18200,309.70348167999816
18300,309.70348167999816
18400,309.70348167999816
18500,309.70348167999816
18600,298.75224536229683
18700,298.75224536229683
18800,293.3011156884472
18900,293.3011156884472
19000,293.3011156884472
19100,293.3011156884472
19200,293.3011156884472
19300,293.3011156884472
19400,293.3011156884472
19500,293.3011156884472
19600,293.3011156884472
19700,293.3011156884472
19800,293.3011156884472
19900,293.3011156884472
20000,293.3011156884472
20100,293.3011156884472
20200,293.3011156884472
20300,293.3011156884472
20400,293.3011156884472
20500,293.3011156884472
20600,293.3011156884472
20700,293.3011156884472
20800,293.3011156884472
20900,293.3011156884472
21000,293.3011156884472
21100,293.3011156884472
21200,293.3011156884472
21300,293.3011156884472
21400,293.3011156884472
21500,293.3011156884472
21600,293.3011156884472
21700,293.3011156884472
21800,293.3011156884472
21900,293.3011156884472
22000,293.3011156884472
22100,293.3011156884472
22200,293.3011156884472
22300,293.3011156884472
22400,293.3011156884472
22500,293.3011156884472
22600,293.3011156884472
22700,293.3011156884472
22800,293.3011156884472
22900,293.3011156884472
23000,293.3011156884472
23100,293.3011156884472
23200,293.3011156884472
23300,293.3011156884472
23400,293.3011156884472
23500,293.3011156884472
23600,293.3011156884472
23700,293.3011156884472
23800,293.3011156884472
23900,293.3011156884472
24000,293.3011156884472
24100,293.3011156884472
24200,293.3011156884472
24300,293.3011156884472
24400,292.49466407554394
24500,290.34717623113556
24600,290.34717623113556
24700,290.34717623113556
24800,290.34717623113556
24900,290.34717623113556
25000,288.75060970753043
25100,288.2826294119639
25200,288.2826294119639
25300,288.2826294119639
25400,288.2826294119639
25500,288.2826294119639
25600,288.2826294119639
25700,288.2826294119639
25800,288.2826294119639
25900,288.2826294119639
26000,288.2826294119639
26100,288.2826294119639
26200,288.2826294119639
26300,288.2826294119639
26400,288.2826294119639
26500,288.2826294119639
26600,288.2826294119639
26700,288.2826294119639
26800,288.2826294119639
26900,288.2826294119639
27000,288.2826294119639
27100,288.2826294119639
27200,288.2826294119639
27300,288.2826294119639
27400,288.2826294119639
27500,288.2826294119639
27600,288.2826294119639
27700,288.2826294119639
27800,288.2826294119639
27900,288.2826294119639
28000,288.2826294119639
28100,288.2826294119639
28200,285.8130924501442
28300,285.8130924501442
28400,285.8130924501442
28500,285.8130924501442
28600,285.8130924501442
28700,285.8130924501442
28800,285.8130924501442
28900,285.8130924501442
29000,285.8130924501442
29100,285.8130924501442
29200,285.8130924501442
29300,285.8130924501442
29400,285.8130924501442
29500,285.8130924501442
29600,285.8130924501442
29700,285.8130924501442
29800,285.8130924501442
29900,285.8130924501442
30000,285.8130924501442
30100,285.8130924501442
30200,285.8130924501442
30300,285.8130924501442
30400,285.8130924501442
30500,285.8130924501442
30600,285.8130924501442
30700,285.8130924501442
30800,285.8130924501442
30900,285.8130924501442
31000,285.8130924501442
31100,285.8130924501442
31200,285.8130924501442
31300,285.8130924501442
31400,285.8130924501442
31500,285.8130924501442
31600,285.8130924501442
31700,285.8130924501442
31800,285.8130924501442
31900,285.8130924501442
32000,285.8130924501442
32100,285.8130924501442
32200,285.8130924501442
32300,285.8130924501442
32400,285.8130924501442
32500,285.8130924501442
32600,285.8130924501442
32700,285.8130924501442
32800,285.8130924501442
32900,285.8130924501442
33000,285.8130924501442
33100,285.8130924501442
33200,285.8130924501442
33300,285.8130924501442
33400,285.8130924501442
33500,285.8130924501442
33600,285.8130924501442
33700,285.8130924501442
33800,285.8130924501442
33900,285.8130924501442
34000,285.8130924501442
34100,285.8130924501442
34200,285.8130924501442
34300,285.8130924501442
34400,285.8130924501442
34500,285.8130924501442
34600,285.8130924501442
34700,285.8130924501442
34800,285.8130924501442
34900,285.8130924501442
35000,285.8130924501442
35100,285.8130924501442
35200,285.8130924501442
35300,285.8130924501442
35400,285.8130924501442
35500,285.8130924501442
35600,285.8130924501442
35700,285.8130924501442
35800,285.8130924501442
35900,285.8130924501442
36000,285.8130924501442
36100,285.8130924501442
36200,285.8130924501442
36300,285.8130924501442
36400,285.8130924501442
36500,285.8130924501442
36600,285.8130924501442
36700,285.8130924501442
36800,285.8130924501442
36900,285.8130924501442
37000,285.172643011942
37100,285.172643011942
37200,285.172643011942
37300,285.172643011942
37400,285.172643011942
37500,283.4518017117508
37600,283.4518017117508
37700,283.4518017117508
37800,280.62175618823034
37900,280.62175618823034
38000,280.62175618823034
38100,280.62175618823034
38200,280.62175618823034
38300,280.62175618823034
38400,280.62175618823034
38500,280.62175618823034
38600,280.62175618823034
38700,280.62175618823034
38800,280.62175618823034
38900,280.62175618823034
39000,280.62175618823034
39100,280.62175618823034
39200,280.62175618823034
39300,280.62175618823034
39400,280.62175618823034
39500,280.62175618823034
39600,280.62175618823034
39700,280.62175618823034
39800,280.62175618823034
39900,280.62175618823034
40000,280.62175618823034
40100,280.62175618823034
40200,280.62175618823034
40300,280.62175618823034
40400,280.62175618823034
40500,280.62175618823034
40600,280.62175618823034
40700,280.62175618823034
40800,280.62175618823034
40900,280.62175618823034
41000,280.62175618823034
41100,280.62175618823034
41200,280.62175618823034
41300,280.62175618823034
41400,280.62175618823034
41500,280.62175618823034
41600,280.62175618823034
41700,280.62175618823034
41800,280.62175618823034
41900,280.62175618823034
42000,280.62175618823034
42100,280.62175618823034
42200,280.62175618823034
42300,280.62175618823034
42400,280.62175618823034
42500,280.62175618823034
42600,280.62175618823034
42700,280.62175618823034
42800,280.62175618823034
42900,280.62175618823034
