Instance,Best Known Cost,Cost,Gap to BKS,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
X-n439-k37.vrp,36391,41567.21951336524,14.22%,581,3623,10.037374258041382,False (Time Limit),False
X-n449-k29.vrp,55233,inf,N/A,484,2502,10.02109694480896,False (No Sol),False
X-n459-k26.vrp,24139,31704.174991412583,31.34%,600,3625,10.048148393630981,False (Time Limit),False
X-n469-k138.vrp,221824,inf,N/A,338,2402,10.064090967178345,False (No Sol),False
X-n480-k70.vrp,89449,inf,N/A,280,1852,10.050295352935791,False (No Sol),False
X-n491-k59.vrp,66483,inf,N/A,290,1586,10.027910709381104,False (No Sol),False
X-n502-k39.vrp,69226,73026.07038068755,5.49%,532,2995,10.444655656814575,False (Time Limit),False
X-n513-k21.vrp,24201,34423.36364811262,42.24%,541,3112,10.061439275741577,False (Time Limit),False
X-n524-k153.vrp,154593,inf,N/A,250,1332,10.044380187988281,False (No Sol),False
X-n536-k96.vrp,94846,inf,N/A,333,2112,10.040956020355225,False (No Sol),False
X-n548-k50.vrp,86700,inf,N/A,333,2096,10.025264024734497,False (No Sol),False
X-n561-k42.vrp,42717,inf,N/A,244,1541,10.031743049621582,False (No Sol),False
X-n573-k30.vrp,50673,inf,N/A,193,1266,10.057847499847412,False (No Sol),False
X-n586-k159.vrp,190316,inf,N/A,177,1638,10.052324295043945,False (No Sol),False
X-n599-k92.vrp,108451,inf,N/A,131,1033,10.06518030166626,False (No Sol),False
X-n613-k62.vrp,59535,inf,N/A,212,1241,10.036884307861328,False (No Sol),False
X-n627-k43.vrp,62164,inf,N/A,229,1500,10.030330896377563,False (No Sol),False
X-n641-k35.vrp,63684,inf,N/A,176,951,10.035707235336304,False (No Sol),False
X-n655-k131.vrp,106780,inf,N/A,119,816,10.01789402961731,False (No Sol),False
X-n670-k130.vrp,146332,inf,N/A,93,589,10.034506797790527,False (No Sol),False
X-n685-k75.vrp,68205,inf,N/A,94,752,10.055745601654053,False (No Sol),False
X-n701-k44.vrp,81923,inf,N/A,158,1042,10.070112705230713,False (No Sol),False
X-n716-k35.vrp,43373,inf,N/A,107,557,10.045154809951782,False (No Sol),False
X-n733-k159.vrp,136187,inf,N/A,102,895,10.048555135726929,False (No Sol),False
X-n749-k98.vrp,77269,inf,N/A,120,602,10.04094672203064,False (No Sol),False
X-n766-k71.vrp,114417,inf,N/A,106,663,10.148776531219482,False (No Sol),False
X-n783-k48.vrp,72386,inf,N/A,78,417,10.710546493530273,False (No Sol),False
X-n801-k40.vrp,73311,inf,N/A,127,1056,10.016772031784058,False (No Sol),False
X-n819-k171.vrp,158121,inf,N/A,73,490,10.121699094772339,False (No Sol),False
X-n837-k142.vrp,193737,inf,N/A,57,393,10.178093910217285,False (No Sol),False
X-n856-k95.vrp,88965,inf,N/A,57,316,10.187656164169312,False (No Sol),False
X-n876-k59.vrp,99299,inf,N/A,48,320,10.090440034866333,False (No Sol),False
X-n895-k37.vrp,53860,inf,N/A,37,208,10.262666463851929,False (No Sol),False
X-n916-k207.vrp,329179,inf,N/A,34,223,10.178998231887817,False (No Sol),False
X-n936-k151.vrp,132715,inf,N/A,42,331,10.345007419586182,False (No Sol),False
X-n957-k87.vrp,85465,inf,N/A,61,635,10.499873876571655,False (No Sol),False
X-n979-k58.vrp,118976,inf,N/A,49,374,10.230429410934448,False (No Sol),False
