Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
C101.txt,1728.4132753574274,33894,135131,30.011530876159668,False (Time Limit),False
C102.txt,1675.123061089444,35878,145015,30.015810012817383,False (Time Limit),False
C103.txt,1690.3569429974082,38787,164809,30.015398263931274,False (Time Limit),False
C104.txt,1397.8026756972627,39171,173329,30.012256145477295,False (Time Limit),False
C105.txt,1745.1642438850995,41387,171549,30.00132465362549,False (Time Limit),False
C106.txt,1667.2957661528126,41547,173264,30.01421618461609,False (Time Limit),False
C107.txt,1738.424607064727,41156,168192,29.999333143234253,False (Time Limit),False
C108.txt,1591.0523644677705,41230,172490,30.000584840774536,False (Time Limit),False
C109.txt,1454.1265528761392,40304,178034,30.010851860046387,False (Time Limit),False
C201.txt,1397.7087724140038,39083,170550,30.006683588027954,False (Time Limit),False
C202.txt,1273.8189772652104,36748,158389,30.01801300048828,False (Time Limit),False
C203.txt,1367.3649608086507,37180,162977,30.001624822616577,False (Time Limit),False
C204.txt,1214.9690648853143,38624,173752,30.01360058784485,False (Time Limit),False
C205.txt,1306.1509724269908,38662,173580,30.005949020385742,False (Time Limit),False
C206.txt,1297.9610457336646,39006,174326,30.018535137176514,False (Time Limit),False
C207.txt,1145.5698059762108,39093,178866,30.00848388671875,False (Time Limit),False
C208.txt,1151.9293139695894,39108,176173,30.00019645690918,False (Time Limit),False
R101.txt,Inf,40529,186622,30.003989219665527,False (No Sol),False
R102.txt,Inf,40235,176864,30.008095502853394,False (No Sol),False
R103.txt,1902.458931465298,41439,172556,29.999115228652954,False (Time Limit),False
R104.txt,1448.619404611789,41028,174999,30.01282787322998,False (Time Limit),False
R105.txt,Inf,40964,179082,30.003090620040894,False (No Sol),False
R106.txt,Inf,40562,181503,30.001688957214355,False (No Sol),False
R107.txt,1733.4741182073822,41461,182744,30.018590688705444,False (Time Limit),False
R108.txt,1420.7703742427582,40865,172577,30.00976300239563,False (Time Limit),False
R109.txt,1791.7695613518226,41485,174983,30.009723901748657,False (Time Limit),False
R110.txt,1599.0019139488468,41431,174696,30.003753185272217,False (Time Limit),False
R111.txt,1806.0754661643066,41618,176829,29.996782541275024,False (Time Limit),False
R112.txt,1298.7161981270822,40093,174817,30.015968799591064,False (Time Limit),False
R201.txt,1702.9633256868458,40977,177405,30.005857944488525,False (Time Limit),False
R202.txt,1754.6368116034682,38964,158485,30.01766848564148,False (Time Limit),False
R203.txt,1452.127609076272,39319,167682,30.000101327896118,False (Time Limit),False
R204.txt,1253.2538775382834,38885,170353,30.019002676010132,False (Time Limit),False
R205.txt,1405.5078492031596,40781,181658,30.005358457565308,False (Time Limit),False
R206.txt,1348.283104824204,39833,173642,30.017237186431885,False (Time Limit),False
R207.txt,1394.1165965897815,39443,173775,30.00706195831299,False (Time Limit),False
R208.txt,1062.4632217537087,38600,175420,30.010287284851074,False (Time Limit),False
R209.txt,1377.7236858331103,40011,172871,30.014858961105347,False (Time Limit),False
R210.txt,1310.865775754956,39815,174679,30.015384912490845,False (Time Limit),False
R211.txt,1109.592010655311,38870,176964,30.013113498687744,False (Time Limit),False
RC101.txt,Inf,39785,185376,29.996931791305542,False (No Sol),False
RC102.txt,Inf,40588,189241,29.998213529586792,False (No Sol),False
RC103.txt,2126.824572254227,42229,190891,30.016322374343872,False (Time Limit),False
RC104.txt,1776.870206616999,40613,186846,30.0130934715271,False (Time Limit),False
RC105.txt,Inf,40178,188996,29.99092984199524,False (No Sol),False
RC106.txt,2153.457182327427,42276,195967,30.007789373397827,False (Time Limit),False
RC107.txt,1927.1378184064204,41559,192555,30.007323265075684,False (Time Limit),False
RC108.txt,1688.4946518415786,40852,192826,30.003827571868896,False (Time Limit),False
RC201.txt,2110.317798991195,41749,194009,30.016947984695435,False (Time Limit),False
RC202.txt,2003.278351018796,41354,183039,30.01194715499878,False (Time Limit),False
RC203.txt,1725.251531409996,39955,179268,30.013681650161743,False (Time Limit),False
RC204.txt,1308.735417752092,38770,183486,30.002093076705933,False (Time Limit),False
RC205.txt,2014.5314614203007,41583,196057,30.010375499725342,False (Time Limit),False
RC206.txt,1705.9197839927403,40825,187937,30.004703521728516,False (Time Limit),False
RC207.txt,1592.5383726721036,39997,187491,30.022823095321655,False (Time Limit),False
RC208.txt,1277.0943820703699,38589,179705,30.00259041786194,False (Time Limit),False
