Instance,Status,Cost,Time (s),Expanded,Generated,Is Optimal
0.txt,success,1416.0,4.2308430671691895,25176,30525,True
10.txt,success,1541.0,1.4474103450775146,9411,11054,True
12.txt,success,1551.0,4.901644468307495,37304,41892,True
14.txt,success,1723.0,1.3870246410369873,10172,11728,True
27.txt,success,1502.0,2.893563270568848,18402,21197,True
29.txt,success,1584.0,1.9056320190429688,12138,14445,True
3.txt,success,1628.0,2.292374849319458,16114,18212,True
31.txt,success,1494.0,1.5833663940429688,11713,13652,True
46.txt,success,1667.0,2.1989495754241943,13270,15313,True
48.txt,success,1495.0,2.8124444484710693,21069,25347,True
51.txt,success,1311.0,7.253308057785034,61022,74360,True
52.txt,success,1716.0,1.1754815578460691,7920,9318,True
56.txt,success,1641.0,4.672658920288086,26707,31050,True
59.txt,success,1418.0,6.688470125198364,62049,74522,True
64.txt,success,1798.0,2.0248336791992188,13777,16037,True
72.txt,success,1718.0,3.511420488357544,28514,33369,True
75.txt,success,1593.0,1.5557022094726562,11034,12683,True
80.txt,success,1769.0,1.7129082679748535,12204,13737,True
84.txt,success,1440.0,2.755016565322876,15071,17555,True
85.txt,success,1664.0,2.528561353683472,16826,19393,True
