Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap,EA Dual Bound Expanded Nodes,EA Dual Bound Time,EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap,Single Dual Bound Expanded Nodes,Single Dual Bound Time,Single Dual Bound Optimality
0.txt,1416,1416,0.00%,25781,12.16976714,TRUE,1416,0.00%,25176,3.91476202,TRUE
10.txt,1541,1541,0.00%,9544,3.703062773,TRUE,1541,0.00%,9411,1.380645275,TRUE
12.txt,1551,1551,0.00%,37233,13.65068889,TRUE,1551,0.00%,37304,4.822879791,TRUE
14.txt,1723,1723,0.00%,10290,3.401789904,TRUE,1723,0.00%,10172,1.36310339,TRUE
27.txt,1502,1502,0.00%,18129,10.1445868,TRUE,1502,0.00%,18402,2.88514328,TRUE
29.txt,1584,1584,0.00%,12062,7.57433939,TRUE,1584,0.00%,12138,1.774460793,TRUE
3.txt,1628,1628,0.00%,12468,5.166219473,TRUE,1628,0.00%,16114,2.288958311,TRUE
31.txt,1494,1494,0.00%,12173,9.343050003,TRUE,1494,0.00%,11713,1.511818886,TRUE
46.txt,1667,1667,0.00%,13372,5.93152523,TRUE,1667,0.00%,13270,2.241901875,TRUE
48.txt,1495,1495,0.00%,23169,6.393164873,TRUE,1495,0.00%,21069,2.467639923,TRUE
51.txt,1311,1311,0.00%,85065,29.1561904,TRUE,1311,0.00%,61022,6.756092072,TRUE
52.txt,1716,1716,0.00%,8275,2.232956171,TRUE,1716,0.00%,7920,1.001008511,TRUE
56.txt,1641,1641,0.00%,26691,9.930798531,TRUE,1641,0.00%,26707,4.376615047,TRUE
59.txt,1418,1418,0.00%,63096,24.49589276,TRUE,1418,0.00%,62049,6.915249348,TRUE
64.txt,1798,1798,0.00%,13820,4.658459902,TRUE,1798,0.00%,13777,1.893963814,TRUE
72.txt,1718,1718,0.00%,28568,9.744071245,TRUE,1718,0.00%,28514,3.445524454,TRUE
75.txt,1593,1593,0.00%,14576,3.958506584,TRUE,1593,0.00%,11034,1.403009415,TRUE
80.txt,1769,1769,0.00%,12226,6.774430275,TRUE,1769,0.00%,12204,1.610701799,TRUE
84.txt,1440,1440,0.00%,15549,5.638937473,TRUE,1440,0.00%,15071,2.026638508,TRUE
85.txt,1664,1664,0.00%,16751,8.506328106,TRUE,1664,0.00%,16826,2.591201782,TRUE
