Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap,EA Dual Bound Expanded Nodes,EA Dual Bound Time,EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap,Single Dual Bound Expanded Nodes,Single Dual Bound Time,Single Dual Bound Optimality
1.txt,390,390,0.00%,3069154,1908.576952,FALSE,390,0.00%,1729727,92.90251732,TRUE
12.txt,399,399,0.00%,3117551,1911.529572,FALSE,399,0.00%,3177018,190.4903269,TRUE
18.txt,384,384,0.00%,4026838,1898.472848,FALSE,384,0.00%,1909001,114.8860607,TRUE
19.txt,400,400,0.00%,3393691,1858.284565,FALSE,400,0.00%,3343660,185.2735772,TRUE
21.txt,367,367,0.00%,456264,1803.762184,FALSE,367,0.00%,878757,47.95886683,TRUE
26.txt,389,389,0.00%,3180597,1888.466757,FALSE,389,0.00%,3652033,208.611474,TRUE
29.txt,389,389,0.00%,3405265,1859.760022,FALSE,389,0.00%,6116699,343.03579,TRUE
30.txt,393,393,0.00%,2007119,1837.045018,FALSE,393,0.00%,3071363,163.0284729,TRUE
47.txt,317,317,0.00%,3434064,1864.338315,FALSE,317,0.00%,6208839,330.2145963,TRUE
49.txt,360,360,0.00%,197344,1802.18944,FALSE,360,0.00%,468074,24.83043694,TRUE
5.txt,424,424,0.00%,495832,1805.226267,FALSE,424,0.00%,3000356,148.1449387,TRUE
53.txt,425,425,0.00%,4037053,1895.714601,FALSE,425,0.00%,7345950,409.4673903,TRUE
71.txt,413,413,0.00%,1983234,1835.299298,FALSE,413,0.00%,6610588,368.625303,TRUE
84.txt,374,374,0.00%,251521,1802.155908,FALSE,374,0.00%,6976469,377.697648,TRUE
85.txt,371,371,0.00%,3498592,1867.859545,FALSE,371,0.00%,1733915,88.35657787,TRUE
86.txt,371,371,0.00%,4121349,1958.335548,FALSE,371,0.00%,3086198,163.3285055,TRUE
91.txt,365,365,0.00%,3875492,1890.916321,FALSE,365,0.00%,2919349,154.350934,TRUE
95.txt,371,371,0.00%,4438945,1927.071944,FALSE,371,0.00%,7109647,377.199291,TRUE
98.txt,356,356,0.00%,3194184,1867.238744,FALSE,356,0.00%,933640,50.79338431,TRUE
99.txt,322,322,0.00%,1962200,1835.072717,FALSE,322,0.00%,3236471,176.8343229,TRUE
