Instance,Cost,Nodes Expanded,Nodes Generated,Running Time (s),Is Optimal,Infeasibility
X-n561-k42.vrp,57910.018776042685,1200,7475,30.03840136528015,False (Time Limit),False
X-n573-k30.vrp,58137.39187258055,1119,6888,30.0356867313385,False (Time Limit),False
X-n586-k159.vrp,Inf,700,6475,30.060218811035156,False (No Sol),False
X-n599-k92.vrp,Inf,729,5652,30.047706604003906,False (No Sol),False
X-n613-k62.vrp,86445.54705800771,994,5884,30.024731874465942,False (Time Limit),False
X-n627-k43.vrp,Inf,708,4769,30.049133777618408,False (No Sol),False
X-n641-k35.vrp,73427.72506811874,910,5234,30.040879487991333,False (Time Limit),False
X-n655-k131.vrp,110633.96454694154,982,6164,30.064972162246704,False (Time Limit),False
X-n670-k130.vrp,Inf,846,4570,30.04281449317932,False (No Sol),False
X-n685-k75.vrp,96413.39445422082,872,5440,30.03460431098938,False (Time Limit),False
X-n701-k44.vrp,94848.2496044545,886,5514,30.065062522888184,False (Time Limit),False
X-n716-k35.vrp,57533.18639849184,787,4134,30.050913333892822,False (Time Limit),False
X-n733-k159.vrp,Inf,861,6514,30.021916389465332,False (No Sol),False
X-n749-k98.vrp,104124.57749026244,818,4114,30.038919687271118,False (Time Limit),False
X-n766-k71.vrp,145772.9519331342,816,4390,30.12588119506836,False (Time Limit),False
X-n783-k48.vrp,96026.87283043085,819,5152,30.096243619918823,False (Time Limit),False
X-n801-k40.vrp,80937.32119997378,873,5667,30.101436138153076,False (Time Limit),False
X-n819-k171.vrp,Inf,333,2478,30.09043288230896,False (No Sol),False
X-n837-k142.vrp,Inf,327,2185,30.06625986099243,False (No Sol),False
X-n856-k95.vrp,97004.82713323078,870,5316,30.107399702072144,False (Time Limit),False
X-n876-k59.vrp,Inf,368,2180,30.04708957672119,False (No Sol),False
X-n895-k37.vrp,Inf,323,2091,30.022350072860718,False (No Sol),False
X-n916-k207.vrp,Inf,300,2033,30.113516330718994,False (No Sol),False
X-n936-k151.vrp,Inf,318,2282,30.023394346237183,False (No Sol),False
X-n957-k87.vrp,Inf,347,3153,30.035194635391235,False (No Sol),False
X-n979-k58.vrp,Inf,276,1854,30.060425996780396,False (No Sol),False
