Instance,Best Known Solution,EA Dual Bound Solution,EA Dual Bound Optimality Gap (%),EA Dual Bound Expanded Nodes,EA Dual Bound Time (s),EA Dual Bound Optimality,Single Dual Bound Solution,Single Dual Bound Optimality Gap (%),Single Dual Bound Expanded Nodes,Single Dual Bound Time (s),Single Dual Bound Optimality
1.txt,833, 833.00 ,0.00%," 1,354 ", 0.28 ,TRUE, 833.00 ,0.00%," 1,259 ", 0.06 ,TRUE
17.txt,605, 605.00 ,0.00%," 3,746 ", 3.23 ,TRUE, 605.00 ,0.00%," 3,536 ", 0.19 ,TRUE
20.txt,743, 743.00 ,0.00%," 2,123 ", 0.62 ,TRUE, 743.00 ,0.00%," 2,140 ", 0.13 ,TRUE
34.txt,713, 713.00 ,0.00%," 4,352 ", 0.83 ,TRUE, 713.00 ,0.00%," 4,075 ", 0.22 ,TRUE
36.txt,739, 739.00 ,0.00%," 7,064 ", 1.49 ,TRUE, 739.00 ,0.00%," 7,050 ", 0.44 ,TRUE
39.txt,606, 606.00 ,0.00%," 2,841 ", 0.57 ,TRUE, 606.00 ,0.00%," 2,475 ", 0.15 ,TRUE
41.txt,820, 820.00 ,0.00%," 3,514 ", 0.62 ,TRUE, 820.00 ,0.00%," 3,346 ", 0.20 ,TRUE
42.txt,669, 669.00 ,0.00%," 4,681 ", 1.86 ,TRUE, 669.00 ,0.00%," 4,199 ", 0.26 ,TRUE
43.txt,574, 574.00 ,0.00%," 28,689 ", 14.78 ,TRUE, 574.00 ,0.00%," 14,974 ", 0.76 ,TRUE
48.txt,593, 593.00 ,0.00%," 5,293 ", 1.31 ,TRUE, 593.00 ,0.00%," 4,994 ", 0.28 ,TRUE
51.txt,652, 652.00 ,0.00%," 2,669 ", 0.71 ,TRUE, 652.00 ,0.00%," 2,613 ", 0.15 ,TRUE
59.txt,636, 636.00 ,0.00%," 11,730 ", 2.13 ,TRUE, 636.00 ,0.00%," 7,560 ", 0.35 ,TRUE
62.txt,761, 761.00 ,0.00%," 1,158 ", 1.72 ,TRUE, 761.00 ,0.00%," 1,103 ", 0.05 ,TRUE
68.txt,569, 569.00 ,0.00%," 2,144 ", 0.44 ,TRUE, 569.00 ,0.00%," 1,340 ", 0.07 ,TRUE
77.txt,595, 595.00 ,0.00%," 4,289 ", 0.79 ,TRUE, 595.00 ,0.00%," 3,581 ", 0.20 ,TRUE
80.txt,742, 742.00 ,0.00%," 2,420 ", 0.87 ,TRUE, 742.00 ,0.00%," 2,257 ", 0.12 ,TRUE
84.txt,592, 592.00 ,0.00%," 2,350 ", 0.69 ,TRUE, 592.00 ,0.00%," 2,450 ", 0.15 ,TRUE
88.txt,639, 639.00 ,0.00%," 2,105 ", 0.57 ,TRUE, 639.00 ,0.00%," 1,985 ", 0.09 ,TRUE
9.txt,679, 679.00 ,0.00%," 3,815 ", 4.00 ,TRUE, 679.00 ,0.00%," 3,800 ", 0.24 ,TRUE
90.txt,763, 763.00 ,0.00%, 535 , 0.16 ,TRUE, 763.00 ,0.00%, 516 , 0.03 ,TRUE
