Instance,Objective Value,Optimality,Nodes Expanded,Nodes Generated,Total Times (s),Bridging Time (s),Python Bound Time (s),Dual Bound Chromosome
C104.txt,1402.8201472843791,False,296076,1563662,1839.676528930664,1569.0778,1503.4347486354236,"['h_1tree', 'h_eigen', 'MULTIPLY']"
C201.txt,1090.884104572378,False,275040,1350934,1831.7697207927704,1516.3894,1435.5840784310712,"[8.45, 'h_degree_average', 'ADD']"
R104.txt,1451.1739735062442,False,458703,2341283,1875.9164505004885,1405.9747,1291.7335511446872,['h_assignment']
R203.txt,1568.7505411529262,False,455847,2457334,1861.3439183235168,1416.0891,1305.900009189034,"[0.89, 'h_assignment', 'MULTIPLY']"
RC104.txt,1570.0282674294283,False,474418,2486136,1860.960375070572,1427.1619,1320.800190981914,['h_flow']
C1_2_10.TXT,4340.16254719478,False,110139,506243,1872.3697543144224,1573.8254,1519.463305489975,"[1.02, 'h_global_min_flow', 'MULTIPLY']"
C2_2_10.TXT,4486.834386767905,False,125801,637360,1899.9558169841769,1497.3869,1424.472571130755,"[9.49, 'h_assignment', 'MULTIPLY']"
R1_2_10.TXT,5389.923942684272,False,137982,647163,1900.5895552635195,1518.229,1450.8993848017708,['h_mst']
R2_2_10.TXT,7018.798439106892,False,68186,324462,1858.6135704517365,1611.7888,1564.9563550955208,"['h_assignment', 'h_1tree', 'MULTIPLY']"
RC2_2_10.TXT,4335.248040983256,False,125691,610698,1903.807903289795,1512.3762,1442.1888264185109,"[6.37, 'h_mst', 'MULTIPLY']"
