Node_Count,Gap_Percent
100,
200,
300,
400,
500,
600,
700,
800,
900,
1000,
1100,
1200,
1300,
1400,
1500,
1600,
1700,
1800,
1900,
2000,
2100,
2200,
2300,
2400,
2500,
2600,
2700,
2800,
2900,
3000,
3100,203.6514623314213
3200,203.6514623314213
3300,203.6514623314213
3400,203.6514623314213
3500,203.6514623314213
3600,203.6514623314213
3700,203.6514623314213
3800,203.6514623314213
3900,203.6514623314213
4000,203.6514623314213
4100,203.6514623314213
4200,203.6514623314213
4300,203.6514623314213
4400,203.6514623314213
4500,203.6514623314213
4600,203.6514623314213
4700,203.6514623314213
4800,203.6514623314213
4900,203.6514623314213
5000,203.6514623314213
5100,203.6514623314213
5200,203.6514623314213
5300,203.6514623314213
5400,203.6514623314213
5500,203.6514623314213
5600,203.6514623314213
5700,203.6514623314213
5800,203.6514623314213
5900,203.6514623314213
6000,203.6514623314213
6100,203.6514623314213
6200,203.6514623314213
6300,203.6514623314213
6400,203.6514623314213
6500,203.6514623314213
6600,198.11421977629215
6700,198.11421977629215
6800,198.11421977629215
6900,198.11421977629215
7000,198.11421977629215
7100,198.11421977629215
7200,198.11421977629215
7300,198.11421977629215
7400,198.11421977629215
7500,198.11421977629215
7600,198.11421977629215
7700,198.11421977629215
7800,198.11421977629215
7900,198.11421977629215
8000,198.11421977629215
8100,198.11421977629215
8200,198.11421977629215
8300,198.11421977629215
8400,198.11421977629215
8500,198.11421977629215
8600,198.11421977629215
8700,198.11421977629215
8800,198.11421977629215
8900,198.11421977629215
9000,198.11421977629215
9100,198.11421977629215
9200,198.11421977629215
9300,198.11421977629215
9400,198.11421977629215
9500,198.11421977629215
9600,198.11421977629215
9700,198.11421977629215
9800,198.11421977629215
9900,198.11421977629215
10000,198.11421977629215
10100,198.11421977629215
10200,198.11421977629215
10300,198.11421977629215
10400,198.11421977629215
10500,198.11421977629215
10600,198.11421977629215
10700,198.11421977629215
10800,198.11421977629215
10900,198.11421977629215
11000,198.11421977629215
11100,198.11421977629215
11200,198.11421977629215
11300,198.11421977629215
11400,198.11421977629215
11500,198.11421977629215
11600,198.11421977629215
11700,198.11421977629215
11800,198.11421977629215
11900,198.11421977629215
12000,198.11421977629215
12100,198.11421977629215
12200,198.11421977629215
12300,198.11421977629215
12400,198.11421977629215
12500,198.11421977629215
12600,198.11421977629215
12700,198.11421977629215
12800,198.11421977629215
12900,198.11421977629215
13000,198.11421977629215
13100,198.11421977629215
13200,198.11421977629215
13300,198.11421977629215
13400,151.82111156916577
13500,151.82111156916577
13600,151.82111156916577
13700,151.82111156916577
13800,151.82111156916577
13900,151.82111156916577
14000,151.82111156916577
14100,151.82111156916577
14200,151.82111156916577
14300,151.82111156916577
14400,151.82111156916577
14500,151.82111156916577
14600,151.82111156916577
14700,151.82111156916577
14800,151.82111156916577
14900,151.82111156916577
15000,151.82111156916577
15100,151.82111156916577
15200,151.82111156916577
15300,151.82111156916577
15400,151.82111156916577
