Node_Count,Gap_Percent
100,
200,
300,121.29189591711732
400,121.29189591711732
500,121.29189591711732
600,121.29189591711732
700,121.29189591711732
800,121.29189591711732
900,121.29189591711732
1000,121.29189591711732
1100,121.29189591711732
1200,121.29189591711732
1300,121.29189591711732
1400,121.29189591711732
1500,121.29189591711732
1600,121.29189591711732
1700,121.29189591711732
1800,121.29189591711732
1900,121.29189591711732
2000,121.29189591711732
2100,121.29189591711732
2200,121.29189591711732
2300,121.29189591711732
2400,121.29189591711732
2500,121.29189591711732
2600,121.29189591711732
2700,121.29189591711732
2800,121.29189591711732
2900,121.29189591711732
3000,121.29189591711732
3100,121.29189591711732
3200,121.29189591711732
3300,102.14123676010276
3400,102.14123676010276
3500,102.14123676010276
3600,102.14123676010276
3700,102.14123676010276
3800,102.14123676010276
3900,102.14123676010276
4000,102.14123676010276
4100,102.14123676010276
4200,102.14123676010276
4300,102.14123676010276
4400,102.14123676010276
4500,102.14123676010276
4600,102.14123676010276
4700,102.14123676010276
4800,102.14123676010276
4900,102.14123676010276
5000,102.14123676010276
5100,102.14123676010276
5200,102.14123676010276
5300,102.14123676010276
5400,102.14123676010276
5500,102.14123676010276
5600,102.14123676010276
5700,102.14123676010276
5800,102.14123676010276
5900,102.14123676010276
6000,102.14123676010276
6100,102.14123676010276
6200,102.14123676010276
6300,102.14123676010276
6400,102.14123676010276
6500,102.14123676010276
6600,102.14123676010276
6700,102.14123676010276
6800,102.14123676010276
6900,102.14123676010276
7000,102.14123676010276
7100,102.14123676010276
7200,102.14123676010276
7300,102.14123676010276
7400,102.14123676010276
7500,102.14123676010276
7600,102.14123676010276
7700,102.14123676010276
7800,102.14123676010276
7900,102.14123676010276
8000,102.14123676010276
8100,102.14123676010276
8200,102.14123676010276
8300,102.14123676010276
8400,102.14123676010276
8500,102.14123676010276
8600,102.14123676010276
8700,102.14123676010276
8800,102.14123676010276
8900,102.14123676010276
9000,102.14123676010276
9100,102.14123676010276
9200,102.14123676010276
9300,102.14123676010276
9400,102.14123676010276
9500,102.14123676010276
9600,102.14123676010276
9700,102.14123676010276
9800,102.14123676010276
9900,102.14123676010276
10000,102.14123676010276
10100,102.14123676010276
10200,102.14123676010276
10300,102.14123676010276
10400,102.14123676010276
10500,102.14123676010276
10600,102.14123676010276
10700,102.14123676010276
10800,102.14123676010276
10900,102.14123676010276
11000,102.14123676010276
11100,102.14123676010276
11200,102.14123676010276
11300,102.14123676010276
11400,102.14123676010276
11500,102.14123676010276
11600,102.14123676010276
11700,102.14123676010276
11800,102.14123676010276
11900,102.14123676010276
12000,102.14123676010276
12100,102.14123676010276
12200,102.14123676010276
12300,102.14123676010276
12400,102.14123676010276
12500,102.14123676010276
12600,102.14123676010276
12700,102.14123676010276
12800,102.14123676010276
12900,102.14123676010276
13000,102.14123676010276
13100,102.14123676010276
13200,102.14123676010276
13300,102.14123676010276
13400,102.14123676010276
13500,102.14123676010276
13600,102.14123676010276
