Node_Count,Average_Gap_Percent
100,
200,
300,100.84991846033148
400,100.84991846033148
500,149.80965907101256
600,149.80965907101256
700,149.1867661381718
800,149.1867661381718
900,149.1867661381718
1000,149.1867661381718
1100,149.1867661381718
1200,149.1867661381718
1300,143.29718785711458
1400,141.05869099961942
1500,141.05869099961942
1600,138.60849544622226
1700,138.60849544622226
1800,138.60849544622226
1900,138.60849544622226
2000,138.60849544622226
2100,138.60849544622226
2200,138.60849544622226
2300,138.60849544622226
2400,138.60849544622226
2500,138.60849544622226
2600,138.60849544622226
2700,138.60849544622226
2800,138.60849544622226
2900,138.60849544622226
3000,138.60849544622226
3100,142.17772574880217
3200,142.17772574880217
3300,135.88401123759107
3400,135.88401123759107
3500,135.88401123759107
3600,135.88401123759107
3700,135.88401123759107
3800,135.88401123759107
3900,135.88401123759107
4000,135.88401123759107
4100,135.88401123759107
4200,135.88401123759107
4300,135.88401123759107
4400,135.88401123759107
4500,135.88401123759107
4600,135.88401123759107
4700,135.88401123759107
4800,135.88401123759107
4900,135.88401123759107
5000,135.88401123759107
5100,135.88401123759107
5200,135.88401123759107
5300,135.88401123759107
5400,135.88401123759107
5500,135.88401123759107
5600,135.88401123759107
5700,135.88401123759107
5800,135.88401123759107
5900,135.88401123759107
6000,135.88401123759107
6100,135.88401123759107
6200,135.88401123759107
6300,135.88401123759107
6400,133.86090485856056
6500,130.34989154207133
6600,127.82309088052266
6700,127.35065857281884
6800,127.11176692732474
6900,127.11176692732474
7000,127.11176692732474
7100,127.11176692732474
7200,127.11176692732474
7300,127.11176692732474
7400,127.11176692732474
7500,127.11176692732474
7600,127.11176692732474
7700,127.11176692732474
7800,127.11176692732474
7900,127.11176692732474
8000,127.11176692732474
8100,127.11176692732474
8200,127.11176692732474
8300,127.11176692732474
8400,127.11176692732474
8500,127.11176692732474
8600,127.11176692732474
8700,127.11176692732474
8800,127.11176692732474
8900,127.11176692732474
9000,127.11176692732474
9100,127.11176692732474
9200,127.11176692732474
9300,127.11176692732474
9400,127.11176692732474
9500,127.11176692732474
9600,127.11176692732474
9700,127.11176692732474
9800,127.11176692732474
9900,127.11176692732474
10000,127.11176692732474
10100,127.11176692732474
10200,127.11176692732474
10300,127.11176692732474
10400,127.11176692732474
10500,127.11176692732474
10600,127.11176692732474
10700,127.11176692732474
10800,127.11176692732474
10900,127.11176692732474
11000,127.11176692732474
11100,127.11176692732474
11200,127.11176692732474
11300,127.11176692732474
11400,127.11176692732474
11500,127.11176692732474
11600,127.11176692732474
11700,127.11176692732474
11800,127.11176692732474
11900,127.11176692732474
12000,127.11176692732474
12100,127.11176692732474
12200,127.11176692732474
12300,127.11176692732474
12400,127.11176692732474
12500,127.11176692732474
12600,127.11176692732474
12700,127.11176692732474
12800,127.11176692732474
12900,127.11176692732474
13000,127.11176692732474
13100,125.80038925268627
13200,125.80038925268627
13300,125.80038925268627
13400,114.18297017644431
13500,114.18297017644431
13600,114.15455342225786
