Node_Count,Gap_Percent
100,
200,
300,
400,
500,214.3975830434661
600,214.3975830434661
700,214.3975830434661
800,214.3975830434661
900,214.3975830434661
1000,214.3975830434661
1100,214.3975830434661
1200,214.3975830434661
1300,214.3975830434661
1400,213.2218120273663
1500,213.2218120273663
1600,213.2218120273663
1700,213.2218120273663
1800,213.2218120273663
1900,213.2218120273663
2000,213.2218120273663
2100,213.2218120273663
2200,213.2218120273663
2300,213.2218120273663
2400,213.2218120273663
2500,213.2218120273663
2600,213.2218120273663
2700,213.2218120273663
2800,213.2218120273663
2900,213.2218120273663
3000,213.2218120273663
3100,192.59056934329203
3200,192.59056934329203
3300,192.59056934329203
3400,192.59056934329203
3500,192.59056934329203
3600,192.59056934329203
3700,192.59056934329203
3800,192.59056934329203
3900,192.59056934329203
4000,192.59056934329203
4100,192.59056934329203
4200,192.59056934329203
4300,192.59056934329203
4400,192.59056934329203
4500,192.59056934329203
4600,192.59056934329203
4700,192.59056934329203
4800,192.59056934329203
4900,192.59056934329203
5000,192.59056934329203
5100,192.59056934329203
5200,192.59056934329203
5300,192.59056934329203
5400,192.59056934329203
5500,192.59056934329203
5600,192.59056934329203
5700,192.59056934329203
5800,192.59056934329203
5900,192.59056934329203
6000,192.59056934329203
6100,192.59056934329203
6200,192.59056934329203
6300,192.59056934329203
6400,192.59056934329203
6500,192.59056934329203
6600,192.59056934329203
6700,192.59056934329203
6800,192.59056934329203
6900,192.59056934329203
7000,192.59056934329203
7100,192.59056934329203
7200,192.59056934329203
7300,192.59056934329203
7400,192.59056934329203
7500,192.59056934329203
7600,192.59056934329203
7700,192.59056934329203
7800,192.59056934329203
7900,192.59056934329203
8000,192.59056934329203
8100,192.59056934329203
8200,192.59056934329203
8300,192.59056934329203
8400,192.59056934329203
8500,192.59056934329203
8600,192.59056934329203
8700,192.59056934329203
8800,192.59056934329203
8900,192.59056934329203
9000,192.59056934329203
9100,192.59056934329203
9200,192.59056934329203
9300,192.59056934329203
9400,192.59056934329203
9500,192.59056934329203
9600,192.59056934329203
9700,192.59056934329203
9800,192.59056934329203
9900,192.59056934329203
10000,192.59056934329203
10100,192.59056934329203
10200,192.59056934329203
10300,192.59056934329203
10400,192.59056934329203
10500,192.59056934329203
10600,192.59056934329203
10700,192.59056934329203
10800,192.59056934329203
10900,192.59056934329203
11000,192.59056934329203
11100,192.59056934329203
11200,192.59056934329203
11300,192.59056934329203
11400,192.59056934329203
11500,192.59056934329203
11600,192.59056934329203
11700,192.59056934329203
11800,192.59056934329203
11900,192.59056934329203
12000,192.59056934329203
12100,192.59056934329203
12200,192.59056934329203
12300,192.59056934329203
12400,192.59056934329203
12500,192.59056934329203
12600,192.59056934329203
12700,192.59056934329203
12800,192.59056934329203
12900,192.59056934329203
13000,192.59056934329203
13100,192.59056934329203
13200,192.59056934329203
13300,192.59056934329203
13400,192.59056934329203
13500,192.59056934329203
13600,192.59056934329203
13700,192.59056934329203
