Instance,Status,Cost,Time (s),Expanded,Generated,Is Optimal
A-n39-k6.vrp,success,877.8464680622174,900.5604069232941,3109769,12703126,False
A-n48-k7.vrp,success,1150.2588516046962,900.2077233791351,2572041,11038438,False
A-n55-k9.vrp,success,1166.7647513675824,900.3135073184967,2082113,9147665,False
A-n69-k9.vrp,success,1289.682883345472,900.110543012619,1532407,7186976,False
A-n80-k10.vrp,success,2071.8941783684795,900.1291184425354,1372302,6726098,False
